Region,Country,Location,StationID,Date,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
Africa,Algiers,Algiers,603900,04-02-2020,15.4,24,6.1,-,65,0,10,10.6,25.9,-,,,,
Africa,Algiers,Algiers,603900,05-02-2020,12.2,16,4,-,73,0,9.8,12.8,27.8,-,,,,
Africa,Algiers,Algiers,603900,06-02-2020,9.4,17.5,2,-,71,0,10.9,9.8,27.8,-,,,,
Africa,Algiers,Algiers,603900,07-02-2020,10.6,21.1,2,-,70,0,10,5.4,16.5,-,,,,
Africa,Algiers,Algiers,603900,08-02-2020,13.8,20,10,-,78,0,9.5,7,18.7,-,,,,
Africa,Algiers,Algiers,603900,09-02-2020,13.2,20,6.9,-,81,0,7.7,5.7,18.3,-,,,,
Africa,Algiers,Algiers,603900,10-02-2020,12.9,23,5,-,72,0,8,5.2,16.5,-,,,,
Africa,Algiers,Algiers,603900,11-02-2020,13,26,4,-,57,0,10,7,20.6,-,,,,
Africa,Algiers,Algiers,603900,12-02-2020,12.2,22,3.5,-,69,0,9.5,5.2,16.5,-,,,,
Africa,Algiers,Algiers,603900,13-02-2020,13.7,19,5.5,-,83,0,8,8.1,22.2,-,,,,
Africa,Algiers,Algiers,603900,14-02-2020,13.3,20,7.6,-,85,0,7.2,6.3,16.5,-,,,,
Africa,Algiers,Algiers,603900,15-02-2020,12.6,21,4.8,-,89,0,4.2,5.2,11.1,-,,,,o
Africa,Algiers,Algiers,603900,16-02-2020,14.7,19,8,-,86,0,4.2,7,16.5,-,,,,o
Africa,Algiers,Algiers,603900,17-02-2020,12.8,18,6.6,-,91,0,2.6,5.7,14.8,-,,,,o
Africa,Algiers,Algiers,603900,18-02-2020,14.8,19,12,-,81,0,5.6,12.4,27.8,-,,,,
Africa,Algiers,Algiers,603900,19-02-2020,13.8,18,7,-,75,0,9.2,17.4,37,-,,,,
Africa,Algiers,Algiers,603900,20-02-2020,10.6,19,2,-,77,0,9.8,5.7,14.8,-,,,,
Africa,Algiers,Algiers,603900,21-02-2020,11,19,4,-,82,0,9.2,8.1,22.2,-,,,,
Africa,Algiers,Algiers,603900,22-02-2020,10.5,19,2.8,-,83,0,6.3,5.7,18.7,-,,,,o
Africa,Algiers,Algiers,603900,23-02-2020,10.7,20,2.9,-,76,0,7.6,6.5,16.5,-,,,,
Africa,Algiers,Algiers,603900,24-02-2020,11.7,23,1.9,-,61,0,7.4,4.4,14.8,-,,,,
Africa,Algiers,Algiers,603900,25-02-2020,14.4,25,4,-,65,0,9.3,10.9,33.5,-,,,,
Africa,Algiers,Algiers,603900,26-02-2020,14.3,20,6.6,-,70,0,10,15.9,44.6,64.8,,,,
Africa,Algiers,Algiers,603900,27-02-2020,14.1,23,6.5,-,67,0,9,10,25.9,-,,,,
Africa,Algiers,Algiers,603900,28-02-2020,14.2,22,6.5,-,67,0,10,9.6,16.5,-,,,,
Africa,Algiers,Algiers,603900,29-02-2020,15.3,26,7,-,57,0,10,8.1,31.7,-,,,,
Africa,Egypt,Al Minya,623870,01-01-2020,10.8,17,4.9,1018.2,65,0,9.2,5.7,11.1,-,,,,
Africa,Egypt,Al Minya,623870,02-01-2020,11.4,18.9,4.9,1018.2,51,0,10,5,9.4,-,,,,
Africa,Egypt,Al Minya,623870,03-01-2020,10.6,17.5,6.3,1021.8,58,0,10,10,22.2,-,,,,
Africa,Egypt,Al Minya,623870,04-01-2020,10.6,17.6,6.2,1021.7,50,0,10,8.1,16.5,-,,,,
Africa,Egypt,Al Minya,623870,05-01-2020,12.7,18,4.9,1020,51,0,10,6.7,11.1,-,,,,
Africa,Egypt,Al Minya,623870,06-01-2020,12,19.6,6.8,1018,54,0,9.2,11.1,22.2,-,,,,
Africa,Egypt,Al Minya,623870,07-01-2020,11.1,17.2,8.7,1018.4,59,0,10,9.3,22.2,-,,,,
Africa,Egypt,Al Minya,623870,08-01-2020,10.9,17.7,5,1020.8,56,0,10,8.1,20.6,-,,,,
Africa,Egypt,Al Minya,623870,09-01-2020,13.9,17.3,9,1019.1,49,0,10,15.2,27.8,-,,,,
Africa,Egypt,Al Minya,623870,10-01-2020,10.5,14.6,7,1020.5,72,0,10,10.2,16.5,-,,,,
Africa,Egypt,Al Minya,623870,11-01-2020,12.1,18.2,8.7,1024.6,74,0,8.9,3.9,7.6,-,,,,
Africa,Egypt,Al Minya,623870,12-01-2020,13.7,19.3,9.8,1024.3,68,0,7.4,4.3,7.6,-,,,,
Africa,Egypt,Al Minya,623870,13-01-2020,12.5,18.5,6.1,1023.1,68,0,6.6,6.5,14.8,-,,,,
Africa,Egypt,Al Minya,623870,14-01-2020,15.4,22.6,8.9,1020.9,63,0,7.6,7.6,14.8,-,,,,
Africa,Egypt,Al Minya,623870,15-01-2020,16.3,25.6,8.8,1015.8,59,0,7.7,4.1,9.4,-,,,,
Africa,Egypt,Al Minya,623870,16-01-2020,14.8,20,10.6,1015.4,54,0,10,9.3,16.5,-,,,,
Africa,Egypt,Al Minya,623870,17-01-2020,13.2,18.3,9.2,1017.4,75,0,10,7.4,11.1,-,,,,
Africa,Egypt,Al Minya,623870,18-01-2020,12.9,19.5,7.9,1020.3,65,0,10,6.9,16.5,-,,,,
Africa,Egypt,Al Minya,623870,19-01-2020,12.7,18.5,6.5,1022.7,58,0,10,6.7,14.8,-,,,,
Africa,Egypt,Al Minya,623870,20-01-2020,15.3,20,11.5,1025.8,52,0,10,8.1,18.3,-,,,,
Africa,Egypt,Al Minya,623870,21-01-2020,13.2,18,8.8,1025.1,54,0,10,10.6,20.6,-,,,,
Africa,Egypt,Al Minya,623870,22-01-2020,12.2,17.4,4.7,1024.6,55,0,10,6.5,14.8,-,,,,
Africa,Egypt,Al Minya,623870,23-01-2020,11.6,18.5,5.6,1024.5,62,0,9.5,5,9.4,-,,,,
Africa,Egypt,Al Minya,623870,24-01-2020,12.7,19.3,6.6,1023.5,57,0,10,7.2,16.5,-,,,,
Africa,Egypt,Al Minya,623870,25-01-2020,11.4,17.5,7.3,1028.7,54,0,10,8.3,14.8,-,,,,
Africa,Egypt,Al Minya,623870,26-01-2020,11.1,18.5,5.4,1027.4,59,0,10,5.6,7.6,-,,,,
Africa,Egypt,Al Minya,623870,27-01-2020,11.7,21.3,3.1,1022.1,60,0,7.1,3,5.4,-,,,,
Africa,Egypt,Al Minya,623870,28-01-2020,12.2,20.3,6.2,1020,62,0,6.6,4.6,11.1,-,,,,
Africa,Egypt,Al Minya,623870,29-01-2020,11.6,19.7,5.3,1023,71,0,8,2.2,5.4,-,,,,
Africa,Egypt,Al Minya,623870,30-01-2020,12.5,19.8,6.2,1022.2,65,0,8.5,5.9,9.4,-,,,,
Africa,Egypt,Al Minya,623870,31-01-2020,12.5,19,5.4,1021.3,62,0,10,6.1,14.8,-,,,,
Africa,Egypt,Al Minya,623870,01-02-2020,12.1,19.8,6.3,1022.5,70,0,7.9,5,13,-,,,,
Africa,Egypt,Al Minya,623870,02-02-2020,12.6,19.6,5.4,1022.2,66,0,7.4,7.8,14.8,-,,,,
Africa,Egypt,Al Minya,623870,03-02-2020,13.3,20.1,6.5,1021.2,66,0,7.4,8.5,14.8,-,,,,
Africa,Egypt,Al Minya,623870,04-02-2020,14.1,21.1,7,1019.6,68,0,7.2,5.7,16.5,-,,,,
Africa,Egypt,Al Minya,623870,05-02-2020,15.9,23,8.7,1016.2,63,0,8.2,8.5,14.8,-,,,,
Africa,Egypt,Al Minya,623870,06-02-2020,19.6,25.2,11.3,1015.7,44,0,10,10,13,-,,,,
Africa,Egypt,Al Minya,623870,07-02-2020,14.2,19.7,9.4,1020.5,44,0,10,10.6,24.1,-,,,,
Africa,Egypt,Al Minya,623870,08-02-2020,11.6,18,6.3,1025.2,54,0,10,4.4,18.3,-,,,,
Africa,Egypt,Al Minya,623870,09-02-2020,10.9,15.9,5.4,1027.6,61,0,9.2,8.7,16.5,-,,,,
Africa,Egypt,Al Minya,623870,10-02-2020,10.8,16.4,6.1,1027.9,62,0,9.2,7.6,14.8,-,,,,
Africa,Egypt,Al Minya,623870,11-02-2020,14.3,19.6,6.4,1024.9,51,0,10,4.4,11.1,-,,,,
Africa,Egypt,Al Minya,623870,12-02-2020,15.2,22,6.6,1023.6,49,0,10,6.1,7.6,-,,,,
Africa,Egypt,Al Minya,623870,13-02-2020,15.5,23.5,7.7,1021.8,55,0,10,2.4,5.4,-,,,,
Africa,Egypt,Al Minya,623870,14-02-2020,16.1,23.7,8.2,1018.2,65,0,8.2,6.7,11.1,-,,,,
Africa,Egypt,Al Minya,623870,15-02-2020,15.1,22.8,10.2,1015.2,79,0,5.3,5.7,11.1,-,,,,o
Africa,Egypt,Al Minya,623870,16-02-2020,15.1,21.4,9.8,1016.1,73,0,7.6,5.7,13,-,,,,
Africa,Egypt,Al Minya,623870,17-02-2020,14.9,19.6,10.6,1016.8,77,0,6,9.4,16.5,-,,,,
Africa,Egypt,Al Minya,623870,18-02-2020,14.5,20.8,8.4,1016.6,69,0,7.9,7.6,16.5,-,,,,
Africa,Egypt,Al Minya,623870,19-02-2020,14.8,20.6,9,1018.6,58,0,10,5.7,14.8,-,,,,
Africa,Egypt,Al Minya,623870,20-02-2020,14.4,22.2,7.1,1020.6,65,0,8.7,1.9,3.5,-,,,,
Africa,Egypt,Al Minya,623870,21-02-2020,17,22.5,11.7,1017.6,47,0,10,8.5,14.8,-,,,,
Africa,Egypt,Al Minya,623870,22-02-2020,15.2,19.4,8.2,1019.5,51,0,10,4.6,9.4,-,,,,
Africa,Egypt,Al Minya,623870,23-02-2020,14.3,21.6,10.6,1017.5,57,0,9,2.6,9.4,-,,,,
Africa,Egypt,Al Minya,623870,24-02-2020,12.6,18.1,9.1,1015.9,67,0,10,7.8,13,-,,,,
Africa,Egypt,Al Minya,623870,25-02-2020,14.3,21.2,7.9,1019.5,64,0,10,7.8,18.3,-,,,,
Africa,Egypt,Al Minya,623870,26-02-2020,15.4,23.5,7.4,1020.9,57,0,9.5,4.8,9.4,-,,,,
Africa,Egypt,Al Minya,623870,27-02-2020,17.2,25.9,8,1018.4,54,0,8.4,6.5,24.1,-,,,,
Africa,Egypt,Al Minya,623870,28-02-2020,17.6,27.7,10,1016.1,49,0,10,3.1,7.6,-,,,,
Africa,Egypt,Al Minya,623870,29-02-2020,16.8,23.7,10.1,1017.6,55,0,9,10,22.2,-,,,,
Africa,Egypt,Alexandria,623180,01-01-2020,13.2,16,10.6,1018.4,82,6.1,9.7,10.9,20.6,-,o,,,
Africa,Egypt,Alexandria,623180,02-01-2020,12.9,16,10,1015.6,72,6.1,9.7,19.6,37,-,o,,,
Africa,Egypt,Alexandria,623180,03-01-2020,10.9,14,7.6,1016.2,81,10.92,9.2,26.1,37,-,o,,o,
Africa,Egypt,Alexandria,623180,04-01-2020,13.3,17.2,10,1017.3,77,36.07,9.5,21.3,29.4,-,o,,,
Africa,Egypt,Alexandria,623180,05-01-2020,12.7,17.6,8.8,1016.6,77,8.89,9.8,18,25.9,-,o,,,
Africa,Egypt,Alexandria,623180,06-01-2020,13.1,17.2,9.2,1012.7,65,0,8.2,26.3,50,-,o,,,
Africa,Egypt,Alexandria,623180,07-01-2020,11.6,15.1,8.6,1013.5,74,3.05,9.5,29.3,46.5,-,o,,o,
Africa,Egypt,Alexandria,623180,08-01-2020,13.6,17,9.7,1015.3,75,23.11,8.9,31.9,55.4,-,o,,,
Africa,Egypt,Alexandria,623180,09-01-2020,13.6,17.1,10,1015,71,0,9.7,24.1,37,-,o,,o,
Africa,Egypt,Alexandria,623180,10-01-2020,14.9,17.4,10,1018.1,65,11.94,10,18.9,33.5,-,,,,
Africa,Egypt,Alexandria,623180,11-01-2020,13.2,18.6,9,1024.2,79,0,9.7,8,11.1,-,,,,
Africa,Egypt,Alexandria,623180,12-01-2020,14.4,19,11,1024.3,71,0,10,9.8,18.3,-,,,,
Africa,Egypt,Alexandria,623180,13-01-2020,14.1,18.8,8.8,1023.9,72,0,10,6.9,14.8,-,,,,
Africa,Egypt,Alexandria,623180,14-01-2020,15.2,19.7,11,1023.9,76,1.02,9,8.5,20.6,-,o,,,
Africa,Egypt,Alexandria,623180,15-01-2020,15.3,18,12.7,1019.6,83,7.11,9.7,13.1,22.2,-,o,,,
Africa,Egypt,Alexandria,623180,16-01-2020,13.9,16.4,11.6,1011.9,82,0.76,9.7,17.2,35.2,-,o,,,
Africa,Egypt,Alexandria,623180,17-01-2020,15.7,17.6,11.4,1014.3,78,3.05,10,23,33.5,-,o,,,
Africa,Egypt,Alexandria,623180,18-01-2020,14.3,17,11,1017.8,76,6.1,9.7,15.9,25.9,-,o,,,
Africa,Egypt,Alexandria,623180,19-01-2020,15.3,17.3,10.4,1019.6,70,20.07,10,17,24.1,-,,,,
Africa,Egypt,Alexandria,623180,20-01-2020,15.3,17.6,14,1025.5,58,0,10,23,33.5,-,,,,
Africa,Egypt,Alexandria,623180,21-01-2020,14.4,16.6,13,1025.3,53,0,10,27,31.7,-,,,,
Africa,Egypt,Alexandria,623180,22-01-2020,14.6,17.2,12.2,1024,55,0,10,17,27.8,-,,,,
Africa,Egypt,Alexandria,623180,23-01-2020,14.5,18.5,9,1022.8,68,0,10,18.1,35.2,-,,,,
Africa,Egypt,Alexandria,623180,24-01-2020,14.4,16,12,1023.8,54,0,10,19.1,29.4,-,,,,
Africa,Egypt,Alexandria,623180,25-01-2020,12.7,16.6,9,1029.4,62,0,10,8.3,18.3,-,,,,
Africa,Egypt,Alexandria,623180,26-01-2020,13.1,17.5,9,1029,68,0,10,10.7,77.8,-,,,,
Africa,Egypt,Alexandria,623180,27-01-2020,13.4,18,8.5,1024.1,71,0,10,5.7,11.1,-,,,,
Africa,Egypt,Alexandria,623180,28-01-2020,14.3,18.4,8,1019.9,74,0,8.9,13.1,22.2,-,,,,
Africa,Egypt,Alexandria,623180,29-01-2020,16.2,19.2,12,1022.3,67,1.02,10,14.1,24.1,-,,,,
Africa,Egypt,Alexandria,623180,30-01-2020,14.6,19.4,9.4,1021.8,69,0,9.5,13.1,29.4,-,,,,
Africa,Egypt,Alexandria,623180,31-01-2020,16.4,19.1,14.9,-,62,0,10,15.4,24.1,-,,,,
Africa,Egypt,Alexandria,623180,01-02-2020,15.1,19.2,8.5,1022,66,0,10,14.8,27.8,-,,,,
Africa,Egypt,Alexandria,623180,02-02-2020,15.9,20,12,1022.9,63,0,10,8.1,14.8,-,,,,
Africa,Egypt,Alexandria,623180,03-02-2020,15.3,19.7,10,1022,74,0,9.5,8.7,20.6,-,,,,
Africa,Egypt,Alexandria,623180,04-02-2020,15.3,19.6,10.8,1019.2,76,0,10,10,22.2,-,,,,
Africa,Egypt,Alexandria,623180,05-02-2020,15.6,23,8.9,1013.2,62,0,10,15,37,-,,,,
Africa,Egypt,Alexandria,623180,06-02-2020,15.4,18.5,12,1014.1,54,0,10,18.7,33.5,-,,,,
Africa,Egypt,Alexandria,623180,07-02-2020,14.2,17.2,11,1017.5,63,4.06,9.8,25.7,37,-,o,,,
Africa,Egypt,Alexandria,623180,08-02-2020,13.7,16,10.6,1023.6,61,2.03,10,22.2,33.5,-,o,,,
Africa,Egypt,Alexandria,623180,09-02-2020,12.9,14.4,11.8,1028,54,6.1,9.8,24.4,31.7,-,o,,,
Africa,Egypt,Alexandria,623180,10-02-2020,13.8,15.7,12,1027.4,55,0,10,21.1,25.9,-,,,,
Africa,Egypt,Alexandria,623180,11-02-2020,14.3,18,10,1023.1,74,1.02,10,15.6,33.5,-,,,,
Africa,Egypt,Alexandria,623180,12-02-2020,15.1,21.2,10.3,1021.6,69,0,10,12,22.2,-,,,,
Africa,Egypt,Alexandria,623180,13-02-2020,15.1,22,8.3,1022.1,79,0,9,6.5,18.3,-,,,,
Africa,Egypt,Alexandria,623180,14-02-2020,15.1,18,12,1020.6,85,0,7.1,9.3,20.6,-,,,,
Africa,Egypt,Alexandria,623180,15-02-2020,15.2,21,9.8,1015.8,82,-,6.4,8.3,27.8,-,o,,,o
Africa,Egypt,Alexandria,623180,16-02-2020,16.6,19.2,13,1016.9,71,2.03,10,18.7,24.1,-,,,,
Africa,Egypt,Alexandria,623180,17-02-2020,16.2,19.4,13.8,1018.6,69,0,10,10.6,18.3,-,,,,
Africa,Egypt,Alexandria,623180,18-02-2020,14.1,17,11,1017.9,76,4.06,9.8,8.9,18.3,-,o,,,
Africa,Egypt,Alexandria,623180,19-02-2020,15.9,18.4,13.4,1018.3,68,3.05,9.7,18.3,24.1,-,o,,,
Africa,Egypt,Alexandria,623180,20-02-2020,14.6,19.4,10,1019.2,69,0,10,11.1,24.1,-,,,,
Africa,Egypt,Alexandria,623180,21-02-2020,14.9,19,11,1015.6,70,1.02,10,21.5,37,-,,,,
Africa,Egypt,Alexandria,623180,22-02-2020,15.2,17.8,12,1018.4,60,0,10,17.2,27.8,-,,,,
Africa,Egypt,Alexandria,623180,23-02-2020,13.3,18.2,10,1017.9,71,6.1,10,8.1,22.2,-,,,o,
Africa,Egypt,Alexandria,623180,24-02-2020,12.9,16.2,7.6,1016.3,73,0,9.5,12,25.9,-,,,,
Africa,Egypt,Alexandria,623180,25-02-2020,15.6,19.1,12,1018.4,72,2.03,9.8,17.4,24.1,-,o,,,
Africa,Egypt,Alexandria,623180,26-02-2020,15.9,22,9.6,1019.8,71,0,9.3,9.3,20.6,-,,,,
Africa,Egypt,Alexandria,623180,27-02-2020,17.1,24.4,10,1018.2,64,0,8.4,6.5,16.5,-,,,,
Africa,Egypt,Alexandria,623180,28-02-2020,16.6,22,11.4,1016.4,69,0,9,13,24.1,-,,,,
Africa,Egypt,Alexandria,623180,29-02-2020,16.2,19.6,14,1016.4,63,0,10,25.4,37,-,,,,
Africa,Egypt,Aswan,624140,01-01-2020,13.9,20,8,-,31,0,10,11.3,20.6,-,,,,
Africa,Egypt,Aswan,624140,02-01-2020,14.6,21,9,-,35,0,10,13.7,25.9,-,,,,
Africa,Egypt,Aswan,624140,03-01-2020,12.5,18,9,-,41,0,10,18.9,38.9,-,,,,
Africa,Egypt,Aswan,624140,04-01-2020,10.6,16,7,-,43,0,10,13.9,22.2,-,,,,
Africa,Egypt,Aswan,624140,05-01-2020,9.8,14,5,-,42,0,10,15.6,33.5,-,,,,
Africa,Egypt,Aswan,624140,06-01-2020,11.4,17,6,-,39,0,10,9.6,24.1,-,,,,
Africa,Egypt,Aswan,624140,07-01-2020,7.6,9,6,-,44,0,10,8.3,14.8,-,,,,
Africa,Egypt,Aswan,624140,08-01-2020,13.2,18,8,-,32,0,10,18.9,33.5,-,,,,
Africa,Egypt,Aswan,624140,09-01-2020,12.3,18,6,-,37,0,10,21.5,29.4,-,,,,
Africa,Egypt,Aswan,624140,10-01-2020,12.3,18,6,-,41,0,10,22,37,-,,,,
Africa,Egypt,Aswan,624140,11-01-2020,12.3,19,7,-,50,0,10,12.4,25.9,-,,,,
Africa,Egypt,Aswan,624140,12-01-2020,14.7,21,8,-,43,0,10,15,29.4,-,,,,
Africa,Egypt,Aswan,624140,13-01-2020,16.5,24,9,-,41,0,10,17.2,42.4,-,,,,
Africa,Egypt,Aswan,624140,14-01-2020,18.8,27,11,-,36,0,10,20.7,50,-,,,,
Africa,Egypt,Aswan,624140,15-01-2020,22.6,30,13,-,30,0,10,14.1,27.8,-,,,,
Africa,Egypt,Aswan,624140,16-01-2020,19.4,27,14,-,41,0,10,17.8,29.4,-,,,,
Africa,Egypt,Aswan,624140,17-01-2020,15.8,21,11,-,45,0,10,17.6,38.9,-,,,,
Africa,Egypt,Aswan,624140,18-01-2020,15.8,21,11,-,46,0,10,19.8,48.2,-,,,,
Africa,Egypt,Aswan,624140,19-01-2020,15.4,19,11,-,37,0,10,16.1,20.6,-,,,,
Africa,Egypt,Aswan,624140,20-01-2020,13.8,20,8,-,40,0,10,16.5,33.5,-,,,,
Africa,Egypt,Aswan,624140,21-01-2020,12.9,18,9,-,43,0,10,15.9,27.8,-,,,,
Africa,Egypt,Aswan,624140,22-01-2020,11.7,17,7,-,43,0,10,17.8,31.7,-,,,,
Africa,Egypt,Aswan,624140,23-01-2020,12.6,19,6,-,38,0,10,11.7,18.3,-,,,,
Africa,Egypt,Aswan,624140,24-01-2020,10.3,15,8,-,51,0,10,11.1,16.5,-,,,,
Africa,Egypt,Aswan,624140,25-01-2020,14.3,18,12,-,38,0,10,19.4,33.5,-,,,,
Africa,Egypt,Aswan,624140,26-01-2020,8.8,12,7,-,62,0,10,12.4,18.3,-,,,,
Africa,Egypt,Aswan,624140,27-01-2020,18.6,24,13,-,30,0,10,18,27.8,-,,,,
Africa,Egypt,Aswan,624140,28-01-2020,16.3,24,10,-,28,0,10,15.4,42.4,-,,,,
Africa,Egypt,Aswan,624140,29-01-2020,16.4,23,11,-,31,0,10,19.6,38.9,-,,,,
Africa,Egypt,Aswan,624140,30-01-2020,15.9,23,9,-,37,0,10,17.2,42.4,-,,,,
Africa,Egypt,Aswan,624140,31-01-2020,15.6,22,10,-,35,0,10,22.6,42.4,-,,,,
Africa,Egypt,Aswan,624140,01-02-2020,15.8,23,10,-,33,0,10,16.7,37,-,,,,
Africa,Egypt,Aswan,624140,02-02-2020,15.8,23,8,-,25,0,10,18.3,38.9,-,,,,
Africa,Egypt,Aswan,624140,03-02-2020,17.7,25,10,-,24,0,10,18,44.6,-,,,,
Africa,Egypt,Aswan,624140,04-02-2020,12.8,17,10,-,49,0,10,19.4,33.5,-,,,,
Africa,Egypt,Aswan,624140,05-02-2020,15.6,22,11,-,41,0,10,28.9,75.9,-,,,,
Africa,Egypt,Aswan,624140,06-02-2020,16.6,24,12,-,30,0,10,20.9,44.6,-,,,,
Africa,Egypt,Aswan,624140,07-02-2020,16.7,24,12,-,31,0,10,24.8,48.2,-,,,,
Africa,Egypt,Aswan,624140,08-02-2020,12.9,17,10,-,37,0,10,19.1,31.7,-,,,,
Africa,Egypt,Aswan,624140,09-02-2020,12.3,18,9,-,45,0,10,22.8,40.7,-,,,,
Africa,Egypt,Aswan,624140,10-02-2020,10,12,8,-,49,0,10,15.2,22.2,-,,,,
Africa,Egypt,Aswan,624140,11-02-2020,12.8,19,7,-,-,0,10,12.6,20.6,-,,,,
Africa,Egypt,Aswan,624140,12-02-2020,15.3,22,8,-,35,0,10,15.7,40.7,-,,,,
Africa,Egypt,Aswan,624140,13-02-2020,18.6,27,10,-,31,0,10,17.8,40.7,-,,,,
Africa,Egypt,Aswan,624140,14-02-2020,21.2,31,12,-,28,0,10,16.9,46.5,-,,,,
Africa,Egypt,Aswan,624140,15-02-2020,23.6,30,17,-,27,0,10,24.6,61.1,-,,,,
Africa,Egypt,Aswan,624140,16-02-2020,21.5,28,16,-,28,0,10,18.9,44.6,-,,,,
Africa,Egypt,Aswan,624140,17-02-2020,18.7,25,12,-,36,0,10,12,22.2,-,,,,
Africa,Egypt,Aswan,624140,18-02-2020,18.9,24,13,-,35,0,10,15.4,27.8,-,,,,
Africa,Egypt,Aswan,624140,19-02-2020,17.9,22,13,-,31,0,10,36.1,61.1,-,,,,
Africa,Egypt,Aswan,624140,20-02-2020,16.6,23,10,-,34,0,10,20,46.5,-,,,,
Africa,Egypt,Aswan,624140,21-02-2020,19.7,25,11,-,26,0,10,17,33.5,-,,,,
Africa,Egypt,Aswan,624140,22-02-2020,18.3,24,12,-,31,0,10,19.3,35.2,-,,,,
Africa,Egypt,Aswan,624140,23-02-2020,17.2,24,11,-,30,0,10,18.9,57.6,-,,,,
Africa,Egypt,Aswan,624140,24-02-2020,16.3,20,12,-,-,0,9.5,19.3,35.2,-,,,,
Africa,Egypt,Aswan,624140,25-02-2020,14.9,21,8,-,44,0,8.9,23.5,42.4,-,,,,
Africa,Egypt,Aswan,624140,26-02-2020,17,23,11,-,39,0,10,18.3,57.6,-,,,,
