Country,city,lat,lng
Algeria,Naama,33.2667,-0.3167
Algeria,Constantine,36.36,6.5999
Algeria,Illizi,26.4834,8.4666
Algeria,Mostaganem,35.9404,0.09
Algeria,Annaba,36.92,7.76
Algeria,Tiaret,35.3804,1.32
Algeria,Saïda,34.8404,0.14
Algeria,Boumerdes,36.759,3.4748
Algeria,Reggane,26.7,0.1666
Algeria,El Golea,30.5666,2.8833
Algeria,Bouira,36.3805,3.9
Algeria,Sétif,36.18,5.4
Algeria,Béchar,31.6111,-2.23
Algeria,Tizi Ouzou,36.8,4.0333
Algeria,I-n-Salah,27.2166,2.4666
Algeria,Batna,35.57,6.17
American Samoa,Pago Pago,-14.274,-170.7046
Andorra,Canillo,42.567,1.5981
Andorra,Escaldes-Engordany,42.5085,1.5385
Andorra,Sant Julià de Lòria,42.4664,1.4933
Andorra,La Massana,42.5434,1.5148
Andorra,Andorra la Vella,42.5,1.5165
Andorra,Encamp,42.5361,1.5828
Andorra,Ordino,42.5563,1.5327
Angola,Lobito,-12.37,13.5412
Angola,Capenda Camulemba,-9.4196,18.43
Angola,Luena,-11.79,19.9
Angola,Sumbe,-11.21,13.85
Angola,Caxito,-8.5795,13.66
Angola,Cazombo,-11.8896,22.9
Angola,Cangamba,-13.6996,19.86
Angola,Benguela,-12.5783,13.4072
Angola,Chitado,-17.3196,13.92
Angola,Chibemba,-15.7496,14.08
Angola,Xangongo,-16.74,14.97
Angola,Quibala,-10.7296,14.98
Angola,Cacolo,-10.1496,19.26
Angola,Saurimo,-9.6596,20.39
Angola,Soio,-6.1296,12.37
Angola,Chibia,-15.1896,13.69
Angola,Calenga,-11.3196,16.2
Angola,Calulo,-9.9996,14.9
Angola,Huambo,-12.75,15.76
Angola,Cabinda,-5.5596,12.19
Angola,Songo,-7.3496,14.85
Angola,Cubal,-13.0396,14.24
Angola,Camacupa,-12.0196,17.47
Angola,Namibe,-15.19,12.16
Angola,Mbanza Congo,-6.2696,14.24
Angola,Uíge,-7.62,15.05
Angola,Ondjiva,-17.0696,15.73
Angola,Quipungo,-14.8295,14.55
Angola,Luau,-10.7095,22.23
Angola,Menongue,-14.6666,17.7
Angola,Cuito,-12.38,16.94
Angola,Tômbua,-15.8,11.86
Angola,Lucapa,-8.4196,20.74
Angola,Malanje,-9.54,16.34
Angola,Muconda,-10.5996,21.32
Angola,Cuito Cuanavale,-15.1596,19.17
Angola,Lubango,-14.91,13.49
Angola,Mavinga,-15.7895,20.36
Angola,Luanda,-8.8383,13.2344
Angola,Dundo,-7.38,20.83
Angola,Ambriz,-7.855,13.125
Angola,Dondo,-9.69,14.43
Angola,Luiana,-17.3695,23
Angola,Camabatela,-8.1896,15.37
Angola,Mucusso,-18.0195,21.43
Angola,Uacu Cungo,-11.3595,15.12
Angola,N’dalatando,-9.2995,14.91
Angola,Nzeto,-7.2296,12.86
Angola,Lubango,-14.9167,13.5
Antigua and Barbuda,Saint John’s,17.118,-61.85
Argentina,Ingeniero Guillermo N. Juárez,-23.9,-61.85
Argentina,Junín,-34.5846,-60.9589
Argentina,Susques,-23.4167,-66.4833
Argentina,Comallo,-41.0333,-70.2666
Argentina,Rinconada,-22.4329,-66.1666
Argentina,Olavarría,-36.9,-60.33
Argentina,Pergamino,-33.8996,-60.57
Argentina,Rodeo,-30.2156,-69.14
Argentina,Pampa del Infierno,-26.5166,-61.1666
Argentina,Rafaela,-31.25,-61.5
Argentina,Viedma,-40.8,-63
Argentina,Lobos,-35.1849,-59.0947
Argentina,Charata,-27.2163,-61.2
Argentina,General Conesa,-40.1,-64.4333
Argentina,San Julián,-49.3,-67.7167
Argentina,La Rioja,-29.41,-66.85
Argentina,Tunuyán,-33.5662,-69.0167
Argentina,Eldorado,-26.2,-54.6
Argentina,Gobernador Gregores,-48.7666,-70.25
Argentina,Cafayate,-26.0829,-65.9666
Argentina,San Miguel de Tucumán,-26.816,-65.2166
Argentina,Salta,-24.7834,-65.4166
Argentina,Necochea,-38.56,-58.75
Argentina,Campana,-34.16,-58.96
Argentina,Concordia,-31.3896,-58.03
Argentina,Luján,-34.5796,-59.11
Argentina,Chumbicha,-28.8666,-66.2333
Argentina,Rawson,-43.3,-65.1
Argentina,Presidencia Roque Sáenz Peña,-26.79,-60.45
Argentina,San Rafael,-34.6,-68.3333
Argentina,Villalonga,-39.8829,-62.5833
Argentina,Veinticinco de Mayo,-37.8,-67.6833
Argentina,La Plata,-34.9096,-57.96
Argentina,Carhué,-37.1829,-62.7333
Argentina,Tandil,-37.32,-59.15
Argentina,Zárate,-34.0896,-59.04
Argentina,Villa Rumipal,-32.1833,-64.4833
Argentina,Las Lajas,-38.5163,-70.3666
Argentina,Sarmiento,-45.6,-69.0833
Argentina,General Martín Miguel de Güemes,-24.6666,-65.05
Argentina,Esquel,-42.9,-71.3166
Argentina,Sierra Colorada,-40.5829,-67.8
Argentina,Dolores,-36.33,-57.69
Argentina,Abra Pampa,-22.7167,-65.7
Argentina,Victorica,-36.2163,-65.45
Argentina,Córdoba,-31.4,-64.1823
Argentina,Victoria,-32.61,-60.18
Argentina,San Salvador de Jujuy,-24.1833,-65.3
Argentina,Veinticinco de Mayo,-35.43,-60.18
Argentina,La Paz,-33.4661,-67.55
Argentina,Comandante Fontana,-25.3333,-59.6833
Argentina,Los Blancos,-23.5996,-62.6
Argentina,Chilecito,-29.1655,-67.5
Argentina,Darregueira,-37.6996,-63.1666
Argentina,Lincoln,-34.88,-61.5399
Argentina,Chascomús,-35.5662,-58.0166
Argentina,San Antonio de los Cobres,-24.1829,-66.35
Argentina,Trancas,-26.2167,-65.2833
Argentina,El Maitén,-42.05,-71.1666
Argentina,Corrientes,-27.49,-58.81
Argentina,Balcarce,-37.8333,-58.25
Argentina,Reconquista,-29.1395,-59.65
Argentina,Mar del Plata,-38,-57.58
Argentina,Villa María,-32.41,-63.26
Argentina,Zapala,-38.9,-70.0667
Argentina,Buenos Aires,-34.6025,-58.3975
Argentina,Chepes,-31.35,-66.6
Argentina,Puerto Deseado,-47.75,-65.9
Argentina,Gualeguaychú,-33.02,-58.52
Argentina,Coronel Suárez,-37.4666,-61.9166
Argentina,Perito Moreno,-46.6,-70.9334
Argentina,Uspallata,-32.5931,-69.346
Argentina,Trelew,-43.25,-65.33
Argentina,San Carlos de Bariloche,-41.15,-71.3
Argentina,Rosario,-32.9511,-60.6663
Argentina,Alto Río Senguer,-45.0333,-70.8333
Argentina,San Fernando del Valle de Catamarca,-28.47,-65.78
Argentina,Malargüe,-35.4661,-69.5833
Argentina,Tinogasta,-28.0666,-67.5666
Argentina,Mendoza,-32.8833,-68.8166
Argentina,Joaquín V. González,-25.0833,-64.1834
Argentina,Benito Juárez,-37.6655,-59.8
Argentina,Frías,-28.6496,-65.15
Argentina,Mar de Ajó,-36.7162,-56.6766
Argentina,General Pico,-35.6596,-63.77
Argentina,Punta Alta,-38.88,-62.08
Argentina,San Juan,-31.55,-68.52
Argentina,Alta Gracia,-31.66,-64.43
Argentina,San Pedro,-24.2196,-64.87
Argentina,Río Gallegos,-51.6333,-69.2166
Argentina,San Francisco,-31.43,-62.09
Argentina,Tartagal,-22.55,-63.81
Argentina,Resistencia,-27.46,-58.99
Argentina,Añatuya,-28.4661,-62.8333
Argentina,Bahía Blanca,-38.74,-62.265
Argentina,Ingeniero Jacobacci,-41.3,-69.5833
Argentina,Bell Ville,-32.6,-62.68
Argentina,Comodoro Rivadavia,-45.87,-67.5
Argentina,Neuquén,-38.95,-68.06
Argentina,Comandante Luis Piedra Buena,-49.9745,-68.9035
Argentina,Chivilcoy,-34.9,-60.04
Argentina,Formosa,-26.1728,-58.1828
Argentina,Santa Rosa,-36.62,-64.3
Argentina,Libertador General San Martín,-23.8195,-64.79
Argentina,Las Lomitas,-24.6996,-60.6
Argentina,Villa Mercedes,-33.6896,-65.47
Argentina,Cutral-Có,-38.94,-69.24
Argentina,San Lorenzo,-28.12,-58.77
Argentina,Río Colorado,-38.9666,-64.0833
Argentina,Cerrillos,-24.8996,-65.4833
Argentina,Río Mayo,-45.6834,-70.2666
Argentina,Nueve de Julio,-35.446,-60.89
Argentina,Tres Arroyos,-38.37,-60.2699
Argentina,Mercedes,-34.66,-59.44
Argentina,Monte Quemado,-25.7996,-62.8666
Argentina,Humahuaca,-23.2,-65.3499
Argentina,Río Tercero,-32.1796,-64.12
Argentina,Belén,-27.6496,-67.0333
Argentina,San Luis,-33.3,-66.35
Argentina,Sunchales,-30.9329,-61.5666
Argentina,Villa Constitución,-33.23,-60.35
Argentina,Azul,-36.7796,-59.87
Argentina,Pedro Luro,-39.4833,-62.6833
Argentina,San Nicolás de los Arroyos,-33.33,-60.24
Argentina,Río Cuarto,-33.13,-64.35
Argentina,Mercedes,-29.1796,-58.08
Argentina,Chamical,-30.3496,-66.3167
Argentina,San Antonio Oeste,-40.7329,-64.9333
Argentina,Telsen,-42.3996,-66.95
Argentina,Villa Carlos Paz,-31.42,-64.5
Argentina,Chacabuco,-34.65,-60.49
Argentina,Venado Tuerto,-33.7496,-61.97
Argentina,San Ramón de la Nueva Orán,-23.14,-64.32
Argentina,Posadas,-27.3578,-55.8851
Argentina,Santa Fe,-31.6239,-60.69
Argentina,Villa Ángela,-27.5833,-60.7167
Argentina,Concepción del Uruguay,-32.48,-58.24
Argentina,Goya,-29.14,-59.27
Argentina,Río Grande,-53.7914,-67.699
Argentina,Gastre,-42.283,-69.2333
Argentina,Castelli,-25.9495,-60.6166
Argentina,Las Heras,-32.825,-68.8017
Argentina,El Calafate,-50.3333,-72.3
Argentina,Choele Choel,-39.2666,-65.6833
Argentina,Vera,-29.4662,-60.2166
Argentina,San Martín,-33.07,-68.49
Argentina,Paraná,-31.7333,-60.5333
Argentina,Puerto Madryn,-42.77,-65.04
Argentina,Chos Malal,-37.383,-70.2666
Argentina,Santiago del Estero,-27.7833,-64.2667
Argentina,San Justo,-30.7829,-60.5833
Argentina,General Roca,-39.02,-67.61
Argentina,Veintiocho de Noviembre,-51.65,-72.3
Argentina,Ushuaia,-54.79,-68.31
Argentina,Gualeguay,-33.15,-59.34
Armenia,Ashtarak,40.3017,44.3592
Armenia,Gyumri,40.7894,43.8475
Armenia,Ijevan,40.8756,45.1492
Armenia,Gavarr,40.3589,45.1267
Armenia,Armavir,40.1545,44.0382
Armenia,Artashat,39.9539,44.5506
Armenia,Hrazdan,40.4941,44.7602
Armenia,Kapan,39.2075,46.4058
Armenia,Yeghegnadzor,39.7611,45.3333
Armenia,Vanadzor,40.8128,44.4883
Armenia,Yerevan,40.1812,44.5136
Armenia,Ijevan,40.8788,45.1485
Aruba,Oranjestad,12.5304,-70.029
Australia,Scottsdale,-41.1495,147.5167
Australia,Bourke,-30.1,145.9333
Australia,Quilpie,-26.6166,144.25
Australia,Queenstown,-42.0829,145.55
Australia,Hughenden,-20.85,144.2
Australia,Three Springs,-29.5333,115.75
Australia,Yamba,-29.423,153.3533
Australia,Ouyen,-35.0662,142.3167
Australia,Kingston South East,-36.8328,139.8501
Australia,Morawa,-29.2163,116
Australia,Newman,-23.3666,119.7333
Australia,McMinns Lagoon,-12.5329,131.05
Australia,Cloncurry,-20.7,140.5
Australia,Penola,-37.383,140.8167
Australia,Oatlands,-42.2996,147.3666
Australia,Ravensthorpe,-33.5829,120.0333
Australia,Townsville,-19.25,146.77
Australia,Canberra,-35.283,149.129
Australia,Barcaldine,-23.5662,145.2834
Australia,Wyndham,-15.374,128.3601
Australia,Wagin,-33.2996,117.35
Australia,Mount Barker,-34.6328,117.6666
Australia,Meekatharra,-26.6,118.4833
Australia,Tumby Bay,-34.3829,136.0833
Australia,Charleville,-26.4,146.25
Australia,Kalbarri,-27.6662,114.1667
Australia,Streaky Bay,-32.8119,134.2149
Australia,Bordertown,-36.3162,140.7666
Australia,Kingston,-42.9911,147.3084
Australia,Port Hedland,-20.3104,118.606
Australia,Kalgoorlie,-30.7354,121.46
Australia,Ballina,-28.8614,153.568
Australia,Wangaratta,-36.36,146.3
Australia,Tamworth,-31.1026,150.9171
Australia,Port Augusta,-32.49,137.77
Australia,Richmond,-33.5995,150.74
Australia,Orange,-33.28,149.1
Australia,Singleton,-32.5695,151.16
Australia,Bongaree,-27.0787,153.1509
Australia,Port Lincoln,-34.7332,135.8666
Australia,Broome,-17.9618,122.2308
Australia,Taree,-31.8976,152.4618
Australia,Horsham,-36.7096,142.19
Australia,Port Pirie,-33.1911,137.99
Australia,Warwick,-28.2292,152.0203
Australia,Batemans Bay,-35.6896,150.2073
Australia,Wagga Wagga,-35.1222,147.34
Australia,Yeppoon,-23.1329,150.7567
Australia,Bowen,-20.0013,148.2087
Australia,Bairnsdale,-37.8296,147.61
Australia,Lithgow,-33.4961,150.1528
Australia,Wollongong,-34.4154,150.89
Australia,Parkes,-33.1296,148.17
Australia,Muswellbrook,-32.2696,150.89
Australia,Gympie,-26.1886,152.6709
Australia,Portland,-38.34,141.59
Australia,Kempsey,-31.0874,152.822
Australia,Port Macquarie,-31.445,152.9187
Australia,Mildura,-34.185,142.1514
Australia,Bundaberg,-24.8791,152.3509
Australia,Shepparton,-36.3746,145.3914
Australia,Griffith,-34.29,146.04
Australia,Mount Isa,-20.7239,139.49
Australia,Roebourne,-20.7829,117.1333
Australia,Bunbury,-33.3443,115.6502
Australia,Devonport,-41.1927,146.3311
Australia,Echuca,-36.1296,144.75
Australia,Burnie,-41.0666,145.9167
Australia,Albany,-35.0169,117.8916
Australia,Geraldton,-28.7666,114.6
Australia,Kwinana,-32.2394,115.7702
Australia,Maryborough,-25.5491,152.7209
Australia,Goulburn,-34.7496,149.7102
Australia,Mount Gambier,-37.8313,140.765
Australia,Katoomba,-33.7069,150.32
Australia,Sale,-38.1096,147.06
Australia,Armidale,-30.5123,151.6675
Australia,Hervey Bay,-25.2887,152.8409
Australia,Kiama,-34.7096,150.84
Australia,Alice Springs,-23.701,133.88
Australia,Traralgon,-38.1996,146.53
Australia,Tweed Heads,-28.1826,153.5466
Australia,Queanbeyan,-35.3546,149.2113
Australia,Melton,-37.6895,144.57
Australia,Dubbo,-32.26,148.5973
Australia,Caboolture,-27.083,152.95
Australia,Lismore,-28.8167,153.2931
Australia,Maitland,-32.721,151.555
Australia,Gawler,-34.6074,138.7264
Australia,Karratha,-20.7304,116.87
Australia,Warrnambool,-38.38,142.47
Australia,Broken Hill,-31.95,141.4331
Australia,Sunbury,-37.5696,144.71
Australia,Tuncurry,-32.1931,152.5266
Australia,Murray Bridge,-35.1296,139.26
Australia,Gladstone,-23.8533,151.2467
Australia,Cairns,-16.8878,145.7633
Australia,Busselton,-33.6564,115.3487
Australia,Katherine,-14.4666,132.2666
Australia,Merimbula,-36.8996,149.9
Australia,Biloela,-24.3936,150.4961
Australia,Ingham,-18.6496,146.1666
Australia,Bathurst,-33.4196,149.57
Australia,Ararat,-37.2795,142.91
Australia,Toowoomba,-27.5645,151.9555
Australia,Wonthaggi,-38.6095,145.59
Australia,Northam,-31.6566,116.6534
Australia,Kununurra,-15.7666,128.7333
Australia,Roma,-26.5594,148.7907
Australia,Nowra,-34.8828,150.6
Australia,Mudgee,-32.5896,149.5801
Australia,Forbes,-33.3896,148.02
Australia,Berri,-34.2829,140.6
Australia,Cobram,-35.9196,145.65
Australia,Scone,-32.0796,150.8501
Australia,Goondiwindi,-28.5548,150.3253
Australia,Tom Price,-22.6935,117.7931
Australia,Wallaroo,-33.9329,137.6333
Australia,Weipa,-12.6666,141.8666
Australia,Longreach,-23.4496,144.25
Australia,Port Douglas,-16.4846,145.4587
Australia,Central Coast,-33.42,151.3
Australia,Cooma,-36.2396,149.12
Australia,Clare,-33.8329,138.6
Australia,Katanning,-33.6996,117.5501
Australia,Proserpine,-20.4162,148.5835
Australia,Smithton,-40.8329,145.1167
Australia,Narrogin,-32.9329,117.1666
Australia,Geelong,-38.1675,144.3956
Australia,Manjimup,-34.2333,116.15
Australia,Seymour,-37.0342,145.1273
Australia,Tumut,-35.3096,148.22
Australia,Byron Bay,-28.6565,153.6129
Australia,Cowra,-33.8296,148.68
Australia,Launceston,-41.4498,147.1302
Australia,Hamilton,-37.7312,142.0234
Australia,Ayr,-19.5702,147.3995
Australia,Colac,-38.3395,143.58
Australia,Ulladulla,-35.3495,150.47
Australia,Swan Hill,-35.3396,143.54
Australia,Kingaroy,-26.539,151.8406
Australia,Emerald,-23.5122,148.1673
Australia,Rockhampton,-23.3639,150.52
Australia,Dalby,-27.1939,151.2657
Australia,Grafton,-29.712,152.9377
Australia,Moranbah,-22.0016,148.038
Australia,Coffs Harbour,-30.3071,153.1123
Australia,Cranbourne,-38.0996,145.2834
Australia,Charters Towers,-20.0809,146.2587
Australia,Innisfail,-17.5313,146.0387
Australia,Inverell,-29.7668,151.1126
Australia,Mandurah,-32.5235,115.7471
Australia,Atherton,-17.2703,145.4694
Australia,Stawell,-37.0596,142.76
Australia,Maryborough,-37.0496,143.73
Australia,Ballarat,-37.5596,143.84
Australia,Narrabri,-30.3319,149.7874
Australia,Gunnedah,-30.987,150.2623
Australia,Moree,-29.4699,149.8301
Australia,Gold Coast,-28.0815,153.4482
Australia,Carnarvon,-24.8998,113.6501
Australia,Bendigo,-36.76,144.28
Australia,Young,-34.3096,148.29
Australia,Victor Harbor,-35.5596,138.6173
Australia,Esperance,-33.8573,121.8889
Australia,Deniliquin,-35.5296,144.95
Australia,Leeton,-34.5449,146.3973
Australia,Mackay,-21.1439,149.15
Australia,Whyalla,-33.025,137.5614
Australia,Onslow,-21.6576,115.0963
Australia,Birdsville,-25.8996,139.3666
Australia,Albury,-36.06,146.92
Australia,Port Denison,-29.2828,114.9166
Australia,Hobart,-42.85,147.295
Australia,Richmond,-20.7163,143.1333
Australia,Winton,-22.3996,143.0333
Australia,Laverton,-28.627,122.404
Australia,Exmouth,-21.9311,114.1233
Australia,Norseman,-32.2,121.7666
Australia,Kingoonya,-30.8996,135.3
Australia,Mount Magnet,-28.0662,117.8167
Australia,Yulara,-25.2405,130.9889
Australia,Wilcannia,-31.5662,143.3833
Australia,Georgetown,-18.3,143.5333
Australia,Woomera,-31.1496,136.8
Australia,Ivanhoe,-32.8996,144.3
Australia,Theodore,-24.9495,150.0833
Australia,Sydney,-33.92,151.1852
Australia,Bedourie,-24.3496,139.4666
Australia,Gingin,-31.3496,115.9
Australia,Southern Cross,-31.2161,119.3167
Australia,Adelaide,-34.935,138.6
Australia,Camooweal,-19.9167,138.1167
Australia,Bicheno,-41.8784,148.2886
Australia,Meningie,-35.6995,139.3333
Australia,Burketown,-17.7161,139.5666
Australia,Eidsvold,-25.3662,151.1333
Australia,Thargomindah,-28,143.8167
Australia,Karumba,-17.4833,140.8334
Australia,Ceduna,-32.0991,133.6623
Australia,Windorah,-25.4332,142.6502
Australia,Leonora,-28.8815,121.328
Australia,Peterborough,-32.9662,138.8333
Australia,Melbourne,-37.82,144.975
Australia,Adelaide River,-13.2495,131.1
Australia,Newcastle,-32.8453,151.815
Australia,Perth,-31.955,115.84
Australia,Halls Creek,-18.2667,127.7667
Australia,Caloundra,-26.8,153.1333
Australia,Darwin,-12.4254,130.85
Australia,Cowell,-33.6829,136.9166
Australia,Pine Creek,-13.8162,131.8167
Australia,Merredin,-31.4828,118.2667
Australia,Boulia,-22.8996,139.9
Australia,Brisbane,-27.455,153.0351
Australia,Pannawonica,-21.6366,116.325
Australia,Andamooka,-30.431,137.1656
Australia,Kimba,-33.1496,136.4334
Austria,Vienna,48.2,16.3666
Austria,Klagenfurt,46.6203,14.31
Austria,Innsbruck,47.2804,11.41
Austria,Graz,47.0778,15.41
Austria,Sankt Pölten,48.2,15.6333
Austria,Salzburg,47.8105,13.04
Austria,Wiener Neustadt,47.816,16.25
Austria,Eisenstadt,47.8333,16.5333
Austria,Bregenz,47.5167,9.7667
Austria,Linz,48.3192,14.2888
Azerbaijan,Qəzyan,39.2015,46.415
Azerbaijan,Göygöl,40.5858,46.3189
Azerbaijan,Qubadlı,39.3444,46.5818
Azerbaijan,Cəbrayıl,39.3992,47.0283
Azerbaijan,Neftçala,39.3768,49.247
Azerbaijan,Ağdam,39.991,46.9274
Azerbaijan,Dəvəçi,41.2012,48.9871
Azerbaijan,Samux,40.7649,46.4087
Azerbaijan,Zəngilan,39.0837,46.6599
Azerbaijan,Qıvraq,39.3994,45.1151
Azerbaijan,Astara,38.456,48.875
Azerbaijan,Ordubad,38.9096,46.0227
Azerbaijan,Heydərabad,39.7229,44.8485
Azerbaijan,Şirvan,39.9323,48.9203
Azerbaijan,Qax,41.4183,46.9204
Azerbaijan,Goranboy,40.6103,46.7897
Azerbaijan,Masallı,39.0278,48.6703
Azerbaijan,Hacıqabul,40.0387,48.9429
Azerbaijan,Daşkəsən,40.5239,46.0819
Azerbaijan,Qazmalar,40.9814,47.8458
Azerbaijan,Oğuz,41.0708,47.4583
Azerbaijan,Siyəzən,41.0781,49.1156
Azerbaijan,İmişli,39.8724,48.0649
Azerbaijan,İsmayıllı,40.7848,48.1514
Azerbaijan,Quba,41.3611,48.5134
Azerbaijan,Ağdaş,40.647,47.4738
Azerbaijan,Laçın,39.6434,46.5462
Azerbaijan,Yardımlı,38.9077,48.2405
Azerbaijan,Saatlı,39.9321,48.3689
Azerbaijan,Mingəçevir,40.7639,47.0595
Azerbaijan,Beyləqan,39.7756,47.6186
Azerbaijan,Şərur,39.5544,44.9826
Azerbaijan,Yevlax,40.6172,47.15
Azerbaijan,Sabirabad,40.0087,48.477
Azerbaijan,Gədəbəy,40.5656,45.8161
Azerbaijan,Tərtər,40.342,46.9316
Azerbaijan,Füzuli,39.6009,47.1453
Azerbaijan,Şəki,41.1923,47.1705
Azerbaijan,Ağcabədi,40.0501,47.4594
Azerbaijan,Qazax,41.0925,45.3656
Azerbaijan,Balakən,41.7263,46.4048
Azerbaijan,Xaçmaz,41.4643,48.8057
Azerbaijan,Qusar,41.4275,48.4302
Azerbaijan,Ağstafa,41.1148,45.4468
Azerbaijan,Kürdəmir,40.3426,48.1565
Azerbaijan,Kəlbəcər,40.1098,46.0445
Azerbaijan,Zərdab,40.2184,47.7121
Azerbaijan,Bərdə,40.3758,47.1262
Azerbaijan,Sumqayıt,40.58,49.63
Azerbaijan,Ucar,40.5121,47.6519
Azerbaijan,Salyan,39.5962,48.9848
Azerbaijan,Şəmkir,40.8297,46.0178
Azerbaijan,Naftalan,40.5082,46.8203
Azerbaijan,Biləsuvar,39.4583,48.545
Azerbaijan,Ağsu,40.5692,48.3965
Azerbaijan,Lerik,38.7739,48.415
Azerbaijan,Cəlilabad,39.2096,48.4919
Azerbaijan,Qəbələ,40.9825,47.8491
Azerbaijan,Zaqatala,41.6316,46.6448
Azerbaijan,Xırdalan,40.4481,49.755
Azerbaijan,Lənkəran,38.754,48.8511
Azerbaijan,Ağdam,40.9053,45.5564
Azerbaijan,Xocavənd,39.795,47.1117
Azerbaijan,Şuşa,39.7601,46.7499
Azerbaijan,Xocalı,39.913,46.7903
Azerbaijan,Baku,40.3953,49.8622
